ye,frm,cla,co,mshare,mshare_0,delta,cy,hp,hp_weight,size,pl,sp,ac,pr,nest_share,mshare_within,blp_inst_own_size,blp_inst_comp_size,blp_inst_own_hp_weight,blp_inst_comp_hp_weight,blp_inst_own_pl,blp_inst_comp_pl,p_elast_logit,p_elast_nestedlogit,frm_d1,frm_d2,frm_d3,frm_d4,frm_d5,frm_d6,frm_d7,frm_d8,frm_d9,frm_d10,frm_d11,frm_d12,frm_d13,frm_d14,frm_d15,frm_d16,frm_d17,frm_d18
91,25,1,268,.000092035509,.96551061,-9.2582378,1.296,.55000001,.70512819,.82137603,4.5,175,10.1,1.711,.0077315704,.011903857,2.9977779,70.577263,2.141181,44.272488,15,351,-.00011452032,-.000062182036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,25,2,269,.00047460615,.96551061,-7.6179271,1.296,.55000001,.625,.8991946,5,165,11.7,1.9299999,.0090339333,.052535936,2.9199595,70.499443,2.2213092,44.352615,14.5,350.5,-.00059032923,-.00032053591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,25,3,270,.00023059515,.96551061,-8.3397484,1.587,.72000003,.74226809,1.0141014,5,180,11.5,2.54,.0091485372,.025205685,2.8050528,70.384537,2.1040411,44.235348,14.5,350.5,-.00028689113,-.00015577563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,25,4,273,.000037959489,.96551061,-10.143893,1.997,.88999999,.77391303,1.084482,5,192,9.3999996,3.194,.0042755939,.0088781789,2.7346721,70.314156,2.0723963,44.203701,14.5,350.5,-.000047235768,-.000025647993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,26,1,242,.00036510377,.96551061,-7.8802309,.903,.28999999,.42647058,.75320625,5,131,20,1.189,.0077315704,.047222458,6.9657598,66.745621,3.4284699,43.542515,35,330,-.00045417668,-.00024660805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,26,1,243,.00026402849,.96551061,-8.2043552,.903,.28999999,.34523809,.83653188,5,129,22,1.429,.0077315704,.034149401,6.8824339,66.662292,3.5097022,43.623749,35,330,-.0003284757,-.00017835514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,26,1,284,.0012639035,.96551061,-6.6384521,1.043,.33000001,.43137255,.79799175,5,145,20.5,1.66,.0077315704,.16347305,6.9209743,66.700836,3.4235678,43.537613,35,330,-.0015708393,-.00085293152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,26,2,285,.0038765816,.96551061,-5.5177035,1.272,.40000001,.46783626,.93885607,5,151,16.5,1.9974999,.0090339333,.42911336,6.7801099,66.559967,3.387104,43.501152,35,330,-.0048053958,-.0026092252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,26,3,13,.0014941611,.96551061,-6.4710922,1.984,.66000003,.62857145,1.0392088,5,182,12.4,3.1700001,.0091485372,.1633224,6.6797571,66.459618,3.2263689,43.340416,35,330,-.0018565863,-.0010080859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,26,3,247,.000034858716,.96551061,-10.229109,1.595,.51999998,.49056602,1.021896,5,170,13.2,2.1670001,.0091485372,.0038103049,6.6970701,66.476929,3.3643744,43.47842,35,330,-.000043377386,-.000023552975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,26,3,288,.0024205302,.96551061,-5.9886703,1.781,.55000001,.5,1.1154536,5,171,15.5,2.7550001,.0091485372,.26458111,6.6035123,66.383369,3.3549404,43.468987,35,330,-.003004866,-.0016315768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,26,4,15,.0010384097,.96551061,-6.8349667,1.984,.74000001,.5648855,1.2158217,5,182,12.6,3.8699999,.0042755939,.24286911,6.5031443,66.283005,3.2900548,43.404102,35,330,-.0012908763,-.00070091768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
